gene.name	score
FZD3	19.6265393152363
PHIP	19.5728774969842
COX10	19.5629132561369
CLIP4	19.49007045645
TGFBR1	19.4219157090682
CGGBP1	19.4173411765584
TMEM87A	19.382397707409
TGOLN2	19.3670540612865
PATL1	19.3248888767698
C18orf25	19.2594972810505
DCUN1D3	19.2355091309463
TMEM170A	19.215903548603
PRKACB	19.1914210310412
CYP2U1	19.1799954538103
SERTAD2	19.1748150269737
RMND5A	19.1614868568687
POLE3	19.1538498275287
F3	19.1477545509954
PLAG1	19.1233013012409
FAM135A	19.1043227285141
LZIC	19.0955485401137
MSMO1	19.0866641673096
WRNIP1	19.0415129117824
CMPK1	19.029621783026
ZNF431	19.0251943641472
CEP55	19.0057302902417
ABHD2	19.0006971993215
LRRC8B	18.9941678089165
NSD3	18.9826615717317
FAM114A1	18.9626983702973
TBL1XR1	18.9386761953507
GNPTAB	18.8955990909111
ZBTB37	18.8932119371273
ANKRD13C	18.8749436512022
CDC5L	18.8660918972712
NAA30	18.8599916629624
LATS1	18.8557313245411
IRF1	18.8539208880641
SPEN	18.806388279763
ZNF326	18.7891729427832
PRR14L	18.7789489267102
LDLR	18.7720519179762
WDR20	18.7602267310735
BICD1	18.7383334664044
ELOA	18.6630298875928
AFF4	18.6287899467027
EDEM3	18.5872690490274
BMP2K	18.5459626241068
MMGT1	18.5398978261744
CDK19	18.5105152351844
PHKA1	18.5065743460133
TMEM250	18.4622316000101
KPNA6	18.4419581186327
SLC7A11	18.3973599047325
SAR1B	18.3951275905823
SLC6A6	18.3817215734247
POU2F1	18.3494950787322
VCPIP1	18.3455160975568
PEAK1	18.3176051680007
CDV3	18.3095275997011
CALM1	18.3084862008732
BAHD1	18.2972324563765
VMP1	18.2790311815463
YIPF4	18.2650154449017
EIF1AX	18.2639417652527
ARMC8	18.2329971520625
ZBTB11	18.2119832629652
RAB18	18.2005227439719
NIPA1	18.1950396119983
ANKRD12	18.1698812308092
WBP4	18.1604996101566
SSX2IP	18.1491700495822
USP12	18.1430721688415
DCAF7	18.1234762806643
DSCR3	18.0754739746975
NHLRC2	18.0744135970334
DDX3Y	18.0557625022442
UBE2D1	18.0402231333551
PDE4D	18.034141985095
PPP2R5E	17.9347089791499
RGMB	17.9165866915675
NFIC	17.9128360469756
BRK1	17.9107900085209
PAPD4	17.8982729853636
ZBTB4	17.8834696916696
TMEM50B	17.8756058173266
RAB11A	17.8473474315869
KLF13	17.8429985028173
ZKSCAN1	17.8346440074734
KLF7	17.8260910613866
PUS7	17.8108271679433
HEG1	17.8096528347726
TOR1AIP2	17.8040729091235
C16orf72	17.8012074514494
RACGAP1	17.800231165007
OCRL	17.7426445215754
RNF145	17.718815089166
PSMA4	17.702338600395
LMLN	17.6480620457308
KMT2C	17.6394480021394
LNPEP	17.6064648900448
PAFAH1B1	17.5667729806186
PARD6B	17.5651865574114
PHF6	17.5632119466655
FBXL4	17.5582639178781
IRS2	17.557933951894
ZCCHC2	17.5487314740355
TRIM23	17.5139377110777
CEP170	17.5126336211991
RIC1	17.4729496801333
SOCS5	17.4318072232976
PNRC1	17.4142721750869
FAM234A	17.4117123974614
UBE2A	17.3519044246102
BLOC1S2	17.3414400987068
PTPN14	17.3122980375688
GIT2	17.2801222396731
DNAJB14	17.279561467616
FYCO1	17.2373892314091
PPP6R2	17.2142228490538
MTMR6	17.1989030768673
DCUN1D4	17.1842437587029
SNX10	17.154599997292
ALG2	17.1213411895936
LGALSL	17.0560217070754
L3MBTL1	17.0434724519115
SPRYD4	17.0388639227722
ARL6IP1	17.036357601063
BBX	17.0363002729727
EFNA5	17.0076872097561
STX16	16.9537161103534
BUB3	16.9248053389331
DPP8	16.9055387564578
EMC7	16.8995459540151
NUP54	16.8895977304433
RAD21	16.8692135856526
OTUD7B	16.8154463867766
HPRT1	16.8125290391126
APPL1	16.7942271104454
FGFR1OP	16.7934168374714
YY1	16.7921749008929
HIPK1	16.7823602598456
GREB1L	16.7345374599981
FEM1B	16.7312778076368
UBE2D2	16.6888609653765
MTDH	16.6737407602442
BAZ2A	16.6685323449305
DPYSL5	16.6204664530332
CAPRIN2	16.6189135241832
MLEC	16.6188132348942
LBR	16.6058479987479
CHD9	16.5752890591915
DLG5	16.5710313520672
MAP1B	16.5614467313269
USP13	16.5530459829026
MID1IP1	16.5461133085428
CAMTA1	16.5457454728865
ELAVL1	16.5268976968865
GNG12	16.4976332523415
SEC23A	16.4834519756305
UGT8	16.4639331608406
SYNJ1	16.4319992416556
MYO5B	16.40870944466
SSR1	16.3839582918073
LCLAT1	16.3786958085739
ZNF544	16.3601821523407
ITPRIPL2	16.35911905617
NHS	16.3516699117148
NF1	16.3401404185731
REEP5	16.3281998386816
SENP5	16.3098584570378
USP37	16.3002018028085
MYBL1	16.2921925862763
RAB23	16.28663933685
E2F3	16.2800065517008
PPARA	16.2634598366204
ATF2	16.2512685924373
SLC44A1	16.2416981341958
ITGA2	16.2298265977609
C2CD5	16.2256685408031
INSIG1	16.2253692492593
KCTD20	16.2007744605107
PLEKHA1	16.1918814028049
ARL8B	16.1869523365666
ATL3	16.1363526155924
LCORL	16.1218206236389
PPIG	16.1197265776033
NEK9	16.1173553186967
MED21	16.1135857204627
USP28	16.1091833200132
ZNF891	16.0883163021158
DHX33	16.0878686032876
ZNF516	16.0492160098696
DRG1	16.0468060157938
NUS1	16.0322230356843
DYNLL2	16.0107867740856
PIK3C2A	15.9834932093294
CANX	15.966797665358
C6orf89	15.9517574743168
MTMR1	15.9458108465666
MED13L	15.939310039
DDHD1	15.924540846517
GPR137B	15.9224911166475
DNAJB4	15.9044686513365
ARHGAP5	15.881598401343
MID1	15.8664302675976
CHERP	15.8641396182403
CD47	15.8638765177602
BPTF	15.8149692400957
NUCKS1	15.8142221746432
ARHGEF26	15.811755558756
SPG20	15.8053605464517
PRELID3B	15.7945206895785
TMBIM6	15.7683222720285
PHF20	15.7645299912802
LIMD1	15.7638837634706
ATXN7	15.7577513021092
CUX1	15.750174935511
MARCH7	15.7488750824312
MTCL1	15.7428603730659
SOCS4	15.7359344824363
HSPA13	15.7341849458164
TRIM59	15.7153514151858
SLMAP	15.7118128488985
MCL1	15.6879800019146
CCDC50	15.6754425801222
IREB2	15.6752378900617
PRNP	15.6621877124025
ATG2B	15.6595173100627
ASXL2	15.6566372026161
ELL2	15.6541980000115
ANKRD13A	15.6491703842031
ADAM10	15.6446366258197
CLCN5	15.6419510527163
ARAP2	15.6066904267836
TRIB1	15.6046993980137
SF3B3	15.602685629501
FOSL2	15.5966848290425
BCL2L2	15.5940753480897
